"Child name","Payment Mode","Amount (USD)",Note,Date
"Maxim Damon",Cheque,15.00,"Jan 1, 1970","Jan 30, 2019"
"Nick Damon",Cheque,100.00,"Jan 1, 1970","Apr 16, 2019"
"Nyree Gail",Cheque,"100,000.00","Jan 1, 1970","Jan 30, 2019"
"Nyree Gail",Cheque,500.00,"Jan 1, 1970","Jan 25, 2019"
"Nyree Gail",Cheque,1.00,"Jan 1, 1970","Jan 30, 2019"
"Nyree Gail",Cash,500.00,"Jan 1, 1970","Jan 30, 2019"
"Nyree Gail",Cheque,100.00,"Jan 1, 1970","Jan 25, 2019"
"Nyree Gail",Cheque,0.00,"Jan 1, 1970","Jan 30, 2019"
"Nyree Gail",Cheque,"1,000.00","Jan 1, 1970","Jan 30, 2019"
"Nyree Gail",Voucher,1.00,"Jan 1, 1970","Jan 30, 2019"
"Rossy Damon",Cheque,500.00,"Jan 1, 1970","Mar 8, 2019"
"Tim Damon",Cash,100.00,"Jan 1, 1970","Apr 22, 2019"
"Tim Damon",Cash,600.00,"Jan 1, 1970","May 15, 2019"
